notified_document,country,score,wsum,Y_n,Y_struct,Y_struct_abn
https://dtsc.ca.gov/listing-nail-products-containing-methyl-methacrylate-mma-as-a-priority-product/,Indonesia,0.16664759842993615,3.103645778026596,0,0,0
https://dtsc.ca.gov/listing-nail-products-containing-methyl-methacrylate-mma-as-a-priority-product/,Malaysia,0.0,2.006965885473115,0,0,0
https://dtsc.ca.gov/listing-nail-products-containing-methyl-methacrylate-mma-as-a-priority-product/,Thailand,0.25,0.8868573898117527,0,1,1
https://members.wto.org/crnattachments/2021/TBT/USA/21_0054_00_e.pdf,Indonesia,0.53400443137217,0.5779197186809414,1,1,1
https://members.wto.org/crnattachments/2021/TBT/USA/21_0054_00_e.pdf,Malaysia,0.08344868379353367,4.2917777852273185,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0054_00_e.pdf,Thailand,0.1172021252118343,1.5713494271101751,0,1,1
https://members.wto.org/crnattachments/2021/TBT/USA/21_0054_00_e.pdf,Vietnam,0.0692657792177985,2.301566141947033,0,1,1
https://members.wto.org/crnattachments/2021/TBT/USA/21_0266_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2020-12-29/html/2020-28494.htm https://www.govinfo.gov/content/pkg/FR-2020-12-29/pdf/2020-28494.pdf,Cambodia,0.16666666666666666,6.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0266_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2020-12-29/html/2020-28494.htm https://www.govinfo.gov/content/pkg/FR-2020-12-29/pdf/2020-28494.pdf,Indonesia,0.14285714285714285,7.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0266_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2020-12-29/html/2020-28494.htm https://www.govinfo.gov/content/pkg/FR-2020-12-29/pdf/2020-28494.pdf,Malaysia,0.0,7.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0266_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2020-12-29/html/2020-28494.htm https://www.govinfo.gov/content/pkg/FR-2020-12-29/pdf/2020-28494.pdf,Philippines,0.14285714285714285,7.0,0,1,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0266_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2020-12-29/html/2020-28494.htm https://www.govinfo.gov/content/pkg/FR-2020-12-29/pdf/2020-28494.pdf,Thailand,0.0,7.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0266_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2020-12-29/html/2020-28494.htm https://www.govinfo.gov/content/pkg/FR-2020-12-29/pdf/2020-28494.pdf,Vietnam,0.14285714285714285,7.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0267_00_e.pdf,Cambodia,0.0136986301369863,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0267_00_e.pdf,Indonesia,0.0684931506849315,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0267_00_e.pdf,Malaysia,0.0136986301369863,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0267_00_e.pdf,Philippines,0.0136986301369863,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0267_00_e.pdf,Thailand,0.0136986301369863,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0267_00_e.pdf,Vietnam,0.0,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0268_00_e.pdf,Cambodia,0.0136986301369863,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0268_00_e.pdf,Indonesia,0.0684931506849315,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0268_00_e.pdf,Malaysia,0.0136986301369863,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0268_00_e.pdf,Philippines,0.0136986301369863,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0268_00_e.pdf,Thailand,0.0136986301369863,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0268_00_e.pdf,Vietnam,0.0,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0283_00_e.pdf,Cambodia,0.0136986301369863,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0283_00_e.pdf,Indonesia,0.0684931506849315,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0283_00_e.pdf,Malaysia,0.0136986301369863,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0283_00_e.pdf,Philippines,0.0136986301369863,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0283_00_e.pdf,Thailand,0.0136986301369863,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0283_00_e.pdf,Vietnam,0.0,73.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0307_00_e.pdf,Cambodia,0.0,16.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0307_00_e.pdf,Indonesia,0.0,16.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0307_00_e.pdf,Malaysia,0.25,16.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0307_00_e.pdf,Thailand,0.0,16.0,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0307_00_e.pdf,Vietnam,0.0,16.0,0,1,1
https://members.wto.org/crnattachments/2021/TBT/USA/21_0320_00_e.pdf,Indonesia,0.06594218975138742,3.3622533356692674,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0320_00_e.pdf,Malaysia,0.22381898833239008,2.006965885473115,0,1,1
https://members.wto.org/crnattachments/2021/TBT/USA/21_0322_00_e.pdf,Malaysia,0.0,1.2485904934274699,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0322_00_e.pdf,Thailand,0.33333333333333337,0.5530882024431558,0,0,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0325_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2021-01-08/html/2020-28761.htm https://www.govinfo.gov/content/pkg/FR-2021-01-08/pdf/2020-28761.pdf,Cambodia,0.0,6.0,0,0,0
